 R, Honoka, Natsuiro Egao de 1 2 JUMP!, 0
R, Eri, Natsuiro Egao de 1 2 JUMP!, 1
R, Kotori, Natsuiro Egao de 1 2 JUMP!, 2
R, Umi, Natsuiro Egao de 1 2 JUMP!, 3
R, Rin, Natsuiro Egao de 1 2 JUMP!, 4
R, Maki, Natsuiro Egao de 1 2 JUMP!, 5
R, Nozomi, Natsuiro Egao de 1 2 JUMP!, 6
R, Hanayo, Natsuiro Egao de 1 2 JUMP!, 7
R, Niko, Natsuiro Egao de 1 2 JUMP!, 8
R, Honoka, Mogyutto Love de Sekkin Chu!, 9
R, Eri, Mogyutto Love de Sekkin Chu!, 10
R, Kotori, Mogyutto Love de Sekkin Chu!, 11
R, Umi, Mogyutto Love de Sekkin Chu!, 12
R, Rin, Mogyutto Love de Sekkin Chu!, 13
R, Maki, Mogyutto Love de Sekkin Chu!, 14
R, Nozomi, Mogyutto Love de Sekkin Chu!, 15
R, Hanayo, Mogyutto Love de Sekkin Chu!, 16
R, Niko, Mogyutto Love de Sekkin Chu!, 17
R, Honoka, Wonderful Rush, 18
R, Eri, Wonderful Rush, 19
R, Kotori, Wonderful Rush, 20
R, Umi, Wonderful Rush, 21
R, Rin, Wonderful Rush, 22
R, Maki, Wonderful Rush, 23
R, Nozomi, Wonderful Rush, 24
R, Hanayo, Wonderful Rush, 25
R, Niko, Wonderful Rush, 26
R, Honoka, Bokura wa Ima no Naka de, 27
R, Eri, Bokura wa Ima no Naka de, 28
R, Kotori, Bokura wa Ima no Naka de, 29
R, Umi, Bokura wa Ima no Naka de, 30
R, Rin, Bokura wa Ima no Naka de, 31
R, Maki, Bokura wa Ima no Naka de, 32
R, Nozomi, Bokura wa Ima no Naka de, 33
R, Hanayo, Bokura wa Ima no Naka de, 34
R, Niko, Bokura wa Ima no Naka de, 35
R, Honoka, Snow Halation, 36
R, Eri, Snow Halation, 37
R, Kotori, Snow Halation, 38
R, Umi, Snow Halation, 39
R, Rin, Snow Halation, 40
R, Maki, Snow Halation, 41
R, Nozomi, Snow Halation, 42
R, Hanayo, Snow Halation, 43
R, Niko, Snow Halation, 44
R, Honoka, Korekara no Someday, 45
R, Eri, Korekara no Someday, 46
R, Kotori, Korekara no Someday, 47
R, Umi, Korekara no Someday, 48
R, Rin, Korekara no Someday, 49
R, Maki, Korekara no Someday, 50
